clust,Month,Year,Count,chirpsMean,Humidity Max,Humidity Min,Specific Humidity,Temp Max K,Temp Min K,VPD kPa,Precip Mean mm / day,EVI,NDVI,jrcStandingWater,eddi14d,eddi180d,eddi1y,eddi270d,eddi2y,eddi30d,eddi5y,eddi90d,pdsi,spei14d,spei180d,spei1y,spei270d,spei2y,spei30d,spei5y,spei90d,spi14d,spi180d,spi1y,spi270d,spi2y,spi30d,spi5y,spi90d,z
1,10,2008,2,NA,61.749487091883225,21.48391661233436,0.00541444422462874,299.2875998705248,284.91792228970235,1.5930059309180222,12.499564428920976,0.1918756423530016,0.3579024331702028,7797.73095703125,0.6924177125186105,1.7846739572919694,1.485468363293425,1.638096005250586,1.2557918306758842,0.5981550634646092,1.1299999952316284,1.4725371155112514,-3.170902202826684,-0.4295080683393062,-1.9906093944430372,-1.362697819204023,-1.6441086377659666,-1.189915979888,-0.4176351351104212,-0.12792715314497471,-1.2532580272210865,0.018158537148291,-1.360506535616268,-0.7957224821694328,-1.104591700392396,-1.133316965029624,-0.15496887955120622,0.1599999964237213,-0.31261792381724224,-0.7661691159186562
1,10,2017,1,NA,59.440115802448624,16.839376270126355,0.00441486628606019,299.1149637405269,283.0023670611278,1.63460289290161,4.659089731927949,0.19343890268794983,0.321357614539016,9215.5074462890625,0.859912175053857,0.32587483858874866,-0.2680621509114395,0.03236126239493688,-0.13801018235389564,0.6800056469999521,1.690000057220459,1.0712184060901913,2.220801095590147,-0.8740347424747633,-0.5893190500200506,0.9228693149129868,0.3754539552515444,0.7956668999526785,-0.5941225326076199,-1.0331099553971057,-1.1660006365820497,-0.04467088369862377,-0.9506394023956884,1.1785432186248788,0.657879705447312,1.0360520580270312,-0.383273703855317,-0.39429923809158385,-0.5876810821319673,-1.0822019279828392
1,10,2020,1,NA,49.184796937751514,12.836382986548625,0.00432618092707523,301.786877664755,286.0581376194156,2.0988502356691963,0,0.18100908762265527,0.31710183803458186,8506.505615234375,2.0572607961450435,1.989533053193081,1.690000057220459,1.7770000460534088,1.003767362405326,2.081154685978156,1.066788806219722,2.0899999141693115,-1.6125077337984508,-2.076537933014934,-1.904675497294112,-1.216301934473062,-1.3971954024061135,-0.2113038550972106,-2.0899999141693115,0.24888513220817093,-2.0899999141693115,-0.35472440260861393,-0.6973921462215904,-0.3427711673396987,-0.7670321742056441,0.2597719672762531,-0.9209072457487252,0.5505023043195478,-1.281390183491383,-1.545183220486731
2,7,2004,2,NA,47.37095430511387,14.01496606440132,0.00861095981161678,315.2219862974039,298.41703885146285,4.390094635205882,0,0.21569722297993915,0.31019070070428667,5241.761169433594,-0.6544384750622902,0.12878772760517662,-0.3899950367705187,-0.06262564757119146,-0.265704136389803,-1.434897845596126,0.21024755079844473,0.2047710791312852,-1.0007541444706396,0.5340036050972862,0.03457426606063465,0.13624290485979462,0.05349816414991062,-0.09600706227313348,1.3276792240972433,-1.08682880406393,-0.29756504578837306,0.7084451022939081,0.32118048607319355,-0.1135194775664473,0.02641113710590357,-0.5137448239342336,0.521849931977526,-1.690000057220459,-0.19573980871993615,-0.43055876334429594
2,7,2005,2,NA,44.683289210749834,15.378709200823556,0.00959366314060221,315.9618578132491,299.1128702984683,4.477428957903054,2.733277887027976,0.2709780223263111,0.35548367079991766,3744.0968627929688,1.2098618470313116,-0.2437695394446132,-0.9506334444467596,-0.99613025497492,-0.6581870615760279,1.3680206703143185,-0.4984252534763431,0.6036034815474215,3.3751529635342803,-1.09121609105546,0.7945919854689211,1.268083228649259,1.6029923708602072,0.9520331877187252,-1.3114571467627638,0.5400000214576721,-0.7163728107684532,0.8303974647596513,1.1449999809265137,1.53000009059906,1.6756446216958356,1.1757995398506338,0.6618613323384341,0.01177721248348861,-0.02215951073448303,-0.32436387995504634
2,7,2006,1,NA,47.37029526477941,18.728304081590327,0.01089257798475104,315.9302639133853,300.9663296137252,4.451066106507288,0.521135499006238,0.24415540414156645,0.32339798818996907,7488.376525878906,-0.6615058627124443,0.23286754834396964,0.5194581550087058,0.4121604092602663,-0.17726207528697607,-0.7838742688867326,-0.07614889865635602,-0.14571778579414502,-2.0797029148681374,0.6632745798129812,-0.4098954008722433,-0.5104133430338668,-0.5097302036353759,0.6588677876600664,0.6304009664523442,0.02897806060082464,0.05326594608570711,0.8077548081331524,-1.2004717717600828,-0.400527484987844,-1.077651489661961,0.921183321636231,0.6910898567880284,-0.29035740407312527,-0.02671115989017957,-0.31105319474763865
2,7,2008,1,NA,48.895552251448265,16.241722173852107,0.00965669560520865,314.44831354082226,300.00313533031203,4.203157100560254,10.172181106740185,0.20815070325022705,0.2667538998303577,4492.860534667969,0.14312068599608058,1.3307436555800152,1.2433254680762584,1.057178882428526,1.664355530892055,0.7793593113832865,0.9266702191986452,1.0915020882181985,-1.33437323760558,0.10322862157033588,-0.8069647294098045,-0.7806852002300154,-0.4290640084141929,-1.4500000476837158,-0.5412467313937553,-0.6346904896380007,-0.9991552478158536,1.2324371275682549,0.20530072267704724,0.12358826654535138,0.4892815949493785,-0.8609344141041753,1.1443036538505906,0.0903643392956066,0.6702492939623984,0.6147974275040681
2,7,2010,2,NA,47.28349583477116,14.497986381063663,0.00910924030930205,315.22131668500435,298.31178139498246,4.297478372157094,0,0.2195674183676394,0.2970627738506249,2995.3697509765625,-0.2337816487210716,-1.314607318125142,0.2730065234551461,-0.506909411410186,1.0034204158478048,-0.2124275253608777,2.0899999141693115,-0.8764165455685725,2.497455177967717,0.18714307373553615,1.1572678970850887,0.31938374230452216,0.8212980296674366,-0.21632143177728055,0.03010934415356121,-1.8603127746450576,0.7053229362578127,0.7084451022939081,0.7768530178723889,0.7662254985209593,1.0069085282952164,0.5740988367190295,0.521849931977526,-0.3363802781095569,-0.19573980871993615,-0.44317615335192184
2,8,2005,1,NA,56.5609516190506,20.524269978983945,0.01077067649968409,314.0951434584773,298.9079890577393,3.839186361618829,5.139533330625434,0.25735620650149327,0.3556312224136024,5241.649230957031,-1.006553223323753,-0.03882871939631746,-1.223319516416768,-0.6499454501907618,-0.7901437002593373,-0.5977238294723847,-0.805712266127747,0.501249997454006,2.969893687143528,0.8907254457920645,0.32418978431490514,1.6047626993671376,1.3286117608711223,1.076788672344156,0.6116652558976342,0.6198635264457016,-0.4820227136942431,0.5837239712966743,0.6046089482735062,1.5700000524520874,1.4100000858306885,1.149647917855135,0.564699529887891,0.04865032469633042,0.2826350495023855,-0.06930658982075931
2,8,2008,2,NA,52.93881243088315,17.88959870969483,0.01023649107338629,313.83510630292824,299.7791453387782,3.9469629457854047,4.85959974545148,0.21539365217300813,0.2884855099798147,2246.466796875,0.0938225140901332,1.377340479993186,1.2101902818299637,1.0601744432327227,1.53000009059906,0.0055410468250027,1.0157499670108725,0.64866786770384,-0.8128459269595559,0.0829645276219107,-1.3095296067786235,-0.6944901826402886,-0.47611165788538834,-1.429663137907928,0.36168659402916953,-0.6519565502558805,-0.27388917718245664,0.5570477387306216,-0.10274091647459654,0.3853883252297696,0.6194806821834791,-0.7580835418348038,0.8000154357704494,0.13419709443812322,0.9587902487735436,0.7541936715803799
